"","V4","V5","V6","V7"
"83","FBgn0031766","B0432.9","WBGene00015190",1
"84","FBgn0031766","C03F11.2","WBGene00015388",1
"85","FBgn0031766","C23H3.9","WBGene00016022",1
"86","FBgn0031766","C25D7.5","WBGene00007717",1
"87","FBgn0032916","F44E2.10","WBGene00018423",1
"88","FBgn0025726","ZK524.2","WBGene00006752",1
"89","FBgn0041186","R06F6.1","WBGene00000411",1
"90","FBgn0052396","T04H1.9","WBGene00006539",1
"91","FBgn0003887","ZK154.3","WBGene00003171",3
"92","FBgn0003888","ZK154.3","WBGene00003171",3
"93","FBgn0003889","ZK154.3","WBGene00003171",3
"94","FBgn0017578","T19B10.11","WBGene00003509",1
"95","FBgn0017578","F46G10.6","WBGene00003511",1
"96","FBgn0034068","F48A11.5","WBGene00018586",1
"97","FBgn0058470","T12E12.6","WBGene00020465",1
"98","FBgn0058470","Y53F4B.20","WBGene00013166",1
"99","FBgn0058470","VB0395L.1","WBGene00044150",1
"100","FBgn0058470","Y67D8C.9","WBGene00022073",1
"101","FBgn0058470","Y42A5A.1","WBGene00012776",1
"102","FBgn0051343","R03G8.4","WBGene00010999",3
"103","FBgn0051343","R03G8.6","WBGene00011000",3
"104","FBgn0051343","T07F10.1","WBGene00011587",3
"105","FBgn0051343","AC3.5","WBGene00007071",3
"106","FBgn0051343","T16G12.1","WBGene00011803",3
"107","FBgn0051233","R03G8.4","WBGene00010999",3
"108","FBgn0051233","R03G8.6","WBGene00011000",3
"109","FBgn0051233","T07F10.1","WBGene00011587",3
"110","FBgn0051233","AC3.5","WBGene00007071",3
"111","FBgn0051233","T16G12.1","WBGene00011803",3
"112","FBgn0038897","R03G8.4","WBGene00010999",3
"113","FBgn0038897","R03G8.6","WBGene00011000",3
"114","FBgn0038897","T07F10.1","WBGene00011587",3
"115","FBgn0038897","AC3.5","WBGene00007071",3
"116","FBgn0038897","T16G12.1","WBGene00011803",3
"117","FBgn0261243","F49E8.3","WBGene00003914",1
"118","FBgn0038269","C14A4.4","WBGene00000796",1
"119","FBgn0030093","Y71H2AM.17","WBGene00022182",1
"120","FBgn0021761","Y41D4B.19","WBGene00003794",1
"121","FBgn0261922","Y75B8A.24","WBGene00013557",1
"122","FBgn0037737","R186.7","WBGene00011308",1
"123","FBgn0038829","C29E4.14","WBGene00044634",2
"124","FBgn0038829","T04F3.4","WBGene00011439",2
"125","FBgn0038829","F55A11.1","WBGene00010075",2
"126","FBgn0037798","C29E4.14","WBGene00044634",2
"127","FBgn0037798","T04F3.4","WBGene00011439",2
"128","FBgn0037798","F55A11.1","WBGene00010075",2
"129","FBgn0027598","Y44E3A.4","WBGene00021549",1
"130","FBgn0260012","H38K22.1","WBGene00001352",1
"131","FBgn0038996","Y119D3B.16","WBGene00022493",1
"132","FBgn0030961","F37A4.9","WBGene00018137",2
"133","FBgn0036170","F37A4.9","WBGene00018137",2
"134","FBgn0026318","F45G2.6","WBGene00006612",3
"135","FBgn0026318","Y110A7A.2","WBGene00022454",3
"136","FBgn0026319","F45G2.6","WBGene00006612",3
"137","FBgn0026319","Y110A7A.2","WBGene00022454",3
"138","FBgn0030748","F45G2.6","WBGene00006612",3
"139","FBgn0030748","Y110A7A.2","WBGene00022454",3
"140","FBgn0033929","R02D3.3","WBGene00019821",1
"141","FBgn0004618","C55B7.12","WBGene00000483",1
"142","FBgn0063670","Y54G11A.11","WBGene00013219",2
"143","FBgn0036531","Y54G11A.11","WBGene00013219",2
"144","FBgn0034641","ZK1251.9","WBGene00014243",1
"145","FBgn0085403","F53A10.2","WBGene00018734",1
"146","FBgn0030499","T26A5.6","WBGene00020822",1
"147","FBgn0031255","T25F10.5","WBGene00000244",1
"148","FBgn0033578","F58A4.14","WBGene00043992",1
"149","FBgn0033714","C24H11.7","WBGene00007703",1
"150","FBgn0028538","Y6B3A.1","WBGene00012386",1
"151","FBgn0029176","F17C11.9","WBGene00008920",1
"152","FBgn0023508","C16C2.3","WBGene00007620",1
"153","FBgn0036273","T25B9.10","WBGene00012016",1
"154","FBgn0015806","Y47D3A.16","WBGene00012929",1
"155","FBgn0031745","W05B10.4","WBGene00012279",1
"156","FBgn0039402","Y46G5A.12","WBGene00012903",1
"157","FBgn0035589","C01A2.4","WBGene00007216",1
"158","FBgn0039265","D2092.4","WBGene00017065",1
"159","FBgn0027493","C37H5.6","WBGene00016509",1
"160","FBgn0037383","F40G9.1","WBGene00018239",1
"161","FBgn0036697","H14A12.3","WBGene00019196",1
"163","FBgn0261456","F14H12.4","WBGene00017472",1
"164","FBgn0261456","C24A8.4","WBGene00016038",1
"165","FBgn0036254","F54C9.9","WBGene00010044",1
"166","FBgn0259146","C14B1.10","WBGene00007581",2
"167","FBgn0034748","C14B1.10","WBGene00007581",2
"168","FBgn0031196","C04C3.5","WBGene00001119",1
"169","FBgn0028539","F56F4.6","WBGene00018982",1
"170","FBgn0051121","C56E6.5","WBGene00016973",1
"171","FBgn0031170","Y39D8C.1","WBGene00000022",8
"172","FBgn0036747","Y39D8C.1","WBGene00000022",8
"173","FBgn0261998","Y39D8C.1","WBGene00000022",8
"174","FBgn0051213","Y39D8C.1","WBGene00000022",8
"175","FBgn0034493","Y39D8C.1","WBGene00000022",8
"176","FBgn0031169","Y39D8C.1","WBGene00000022",8
"177","FBgn0053173","Y39D8C.1","WBGene00000022",8
"178","FBgn0031171","Y39D8C.1","WBGene00000022",8
"179","FBgn0034521","B0416.6","WBGene00001638",1
"180","FBgn0034521","M01F1.1","WBGene00001639",1
"181","FBgn0034521","F48E3.1","WBGene00001637",1
"182","FBgn0030142","C10H11.8","WBGene00015697",1
"183","FBgn0032297","F55C10.5","WBGene00010109",1
"184","FBgn0064123","C18D1.4","WBGene00007670",1
"185","FBgn0002917","F17C8.6","WBGene00008911",1
"186","FBgn0002917","C27F2.2","WBGene00003558",1
"187","FBgn0002917","C11D2.6","WBGene00006809",1
"188","FBgn0044871","F08F8.8","WBGene00017273",1
"189","FBgn0035028","F26F4.4","WBGene00017826",1
"190","FBgn0086712","C28C12.9","WBGene00001566",1
"191","FBgn0033062","E01A2.2","WBGene00017085",1
"192","FBgn0036519","Y62E10A.8","WBGene00003142",1
"193","FBgn0034858","F11A3.2","WBGene00008670",1
"194","FBgn0262560","B0280.9","WBGene00015104",1
"195","FBgn0005666","F21C10.7","WBGene00017657",1
"196","FBgn0005666","C09D1.1","WBGene00006820",1
"197","FBgn0014877","C34C12.8","WBGene00007927",1
"198","FBgn0039153","C39B5.6","WBGene00016524",1
"199","FBgn0261596","T07A9.11","WBGene00004493",1
"200","FBgn0039925","M02B7.3","WBGene00003884",1
"201","FBgn0001308","R05D3.7","WBGene00006840",1
"202","FBgn0004380","Y50D7A.6","WBGene00002230",1
"203","FBgn0037332","F13H8.10","WBGene00000259",1
"205","FBgn0051534","F28F5.3","WBGene00017904",1
"208","FBgn0260241","T08G11.4","WBGene00011631",1
"209","FBgn0030655","B0361.2","WBGene00015156",1
"210","FBgn0033615","F17A9.2","WBGene00017534",1
"211","FBgn0035333","F55A3.1","WBGene00018847",1
"212","FBgn0032341","Y39B6A.38","WBGene00012696",1
"213","FBgn0036579","ZK973.11","WBGene00022836",1
"214","FBgn0033663","H06O01.1","WBGene00003964",1
"215","FBgn0014002","C14B1.1","WBGene00003962",1
"216","FBgn0014002","C07A12.4","WBGene00003963",1
"217","FBgn0039867","F28C6.3","WBGene00000773",1
"218","FBgn0038666","CC4.3","WBGene00004895",1
"219","FBgn0030672","T27E9.7","WBGene00012097",1
"220","FBgn0011704","C03C10.3","WBGene00004392",1
"221","FBgn0011704","F19G12.2","WBGene00017610",1
"222","FBgn0011704","F58F9.1","WBGene00019055",1
"223","FBgn0011704","K09F6.5","WBGene00019588",1
"224","FBgn0011704","F54H12.2","WBGene00018842",1
"225","FBgn0011704","Y57G11C.21","WBGene00013316",1
"226","FBgn0051004","F54D1.6","WBGene00010047",1
"227","FBgn0051004","R09E10.5","WBGene00011175",1
"228","FBgn0051004","K03H1.5","WBGene00010540",1
"229","FBgn0034564","Y71G12B.14","WBGene00003080",1
"230","FBgn0051323","C30G7.2","WBGene00044176",1
"231","FBgn0024728","C50F7.6","WBGene00016846",1
"232","FBgn0035046","Y54F10AM.5","WBGene00021849",1
"233","FBgn0030061","Y39B6A.33","WBGene00012692",1
"234","FBgn0033541","C14B9.6","WBGene00001565",1
"235","FBgn0011559","F11G11.10","WBGene00000606",1
"236","FBgn0035424","T12F5.5","WBGene00004147",1
"237","FBgn0250906","T03F1.3","WBGene00020185",2
"238","FBgn0031451","T03F1.3","WBGene00020185",2
"239","FBgn0011474","T26A5.7","WBGene00004781",1
"240","FBgn0036992","T21C12.2","WBGene00001993",1
"241","FBgn0031855","C01C4.3","WBGene00015293",2
"242","FBgn0034137","C01C4.3","WBGene00015293",2
"243","FBgn0033570","Y57G11C.12","WBGene00013308",1
"244","FBgn0040475","Y37A1B.2","WBGene00003086",1
"245","FBgn0037491","D2045.7","WBGene00008424",1
"246","FBgn0029672","T20B12.3","WBGene00020601",1
"247","FBgn0259680","C56G2.5","WBGene00016980",1
"248","FBgn0259680","F46F6.2","WBGene00009793",1
"249","FBgn0039085","C03A7.13","WBGene00015371",26
"250","FBgn0039085","C03A7.12","WBGene00015370",26
"251","FBgn0039085","C03A7.11","WBGene00015369",26
"252","FBgn0039085","F56B3.7","WBGene00018931",26
"253","FBgn0039085","T25B9.7","WBGene00012013",26
"254","FBgn0039085","T03D3.1","WBGene00020182",26
"255","FBgn0039085","AC3.2","WBGene00007070",26
"256","FBgn0039085","T07C5.1","WBGene00011564",26
"257","FBgn0039085","B0310.5","WBGene00015141",26
"258","FBgn0039085","R04B5.9","WBGene00011006",26
"259","FBgn0039085","C18C4.3","WBGene00015965",26
"260","FBgn0039085","M88.1","WBGene00010904",26
"261","FBgn0039085","F39G3.1","WBGene00018206",26
"262","FBgn0039085","C07A9.6","WBGene00007402",26
"263","FBgn0039085","R11A8.3","WBGene00011238",26
"264","FBgn0039085","T04H1.8","WBGene00011453",26
"265","FBgn0039085","T04H1.7","WBGene00011452",26
"266","FBgn0039085","Y37E11AR.5","WBGene00021372",26
"267","FBgn0039085","C44H9.1","WBGene00008097",26
"268","FBgn0039085","C08B6.1","WBGene00007422",26
"269","FBgn0039085","ZC443.6","WBGene00013901",26
"270","FBgn0039085","K04A8.10","WBGene00019379",26
"271","FBgn0039085","ZC443.5","WBGene00013900",26
"272","FBgn0039085","F01D4.2","WBGene00008486",26
"273","FBgn0039085","F01D4.1","WBGene00008485",26
"274","FBgn0039085","Y49C4A.8","WBGene00021709",26
"275","FBgn0039085","C10H11.4","WBGene00015693",26
"276","FBgn0039085","T01G5.2","WBGene00011340",26
"277","FBgn0039085","Y39G10AR.6","WBGene00021464",26
"278","FBgn0039085","C23G10.6","WBGene00016013",26
"279","FBgn0039085","C10H11.5","WBGene00015694",26
"280","FBgn0039085","C10H11.3","WBGene00015692",26
"281","FBgn0039085","C55H1.1","WBGene00016959",26
"282","FBgn0039085","C10H11.6","WBGene00015695",26
"283","FBgn0039085","F47C10.6","WBGene00018543",26
"284","FBgn0039085","H10D18.6","WBGene00019181",26
"285","FBgn0039085","C35A5.2","WBGene00007946",26
"286","FBgn0039085","F29F11.2","WBGene00009255",26
"287","FBgn0039085","C32C4.7","WBGene00044286",26
"288","FBgn0039085","F31F4.7","WBGene00017959",26
"289","FBgn0039085","F10D2.11","WBGene00017336",26
"290","FBgn0039085","F10D2.7","WBGene00017333",26
"291","FBgn0039085","F10D2.2","WBGene00017329",26
"292","FBgn0039085","F10D2.12","WBGene00017337",26
"293","FBgn0039085","F10D2.8","WBGene00017334",26
"294","FBgn0039085","F10D2.6","WBGene00017332",26
"295","FBgn0039085","F09G2.6","WBGene00017315",26
"296","FBgn0039085","F10D2.5","WBGene00017331",26
"297","FBgn0039085","T19H12.10","WBGene00020593",26
"298","FBgn0039085","T19H12.11","WBGene00020594",26
"299","FBgn0039085","H23N18.3","WBGene00019234",26
"300","FBgn0039085","H23N18.4","WBGene00019235",26
"301","FBgn0039085","H23N18.2","WBGene00019233",26
"302","FBgn0039085","T19H12.1","WBGene00020587",26
"303","FBgn0039085","H23N18.1","WBGene00019232",26
"304","FBgn0039085","T19H12.9","WBGene00020592",26
"305","FBgn0039085","T19H12.12","WBGene00044282",26
"306","FBgn0039085","ZC455.4","WBGene00013904",26
"307","FBgn0039085","ZC455.5","WBGene00013905",26
"308","FBgn0039085","ZC455.6","WBGene00013906",26
"309","FBgn0039085","C13D9.9","WBGene00015739",26
"310","FBgn0039085","ZC455.3","WBGene00013903",26
"311","FBgn0039085","AC3.7","WBGene00007072",26
"312","FBgn0039085","AC3.8","WBGene00007073",26
"313","FBgn0039085","C17G1.3","WBGene00007650",26
"314","FBgn0039085","C33A12.6","WBGene00007885",26
"315","FBgn0039085","K08B4.4","WBGene00019516",26
"316","FBgn0039085","K08B4.3","WBGene00019515",26
"317","FBgn0039085","C08F11.8","WBGene00007455",26
"318","FBgn0039085","C49A9.8","WBGene00016762",26
"319","FBgn0039086","C03A7.13","WBGene00015371",26
"320","FBgn0039086","C03A7.12","WBGene00015370",26
"321","FBgn0039086","C03A7.11","WBGene00015369",26
"322","FBgn0039086","F56B3.7","WBGene00018931",26
"323","FBgn0039086","T25B9.7","WBGene00012013",26
"324","FBgn0039086","T03D3.1","WBGene00020182",26
"325","FBgn0039086","AC3.2","WBGene00007070",26
"326","FBgn0039086","T07C5.1","WBGene00011564",26
"327","FBgn0039086","B0310.5","WBGene00015141",26
"328","FBgn0039086","R04B5.9","WBGene00011006",26
"329","FBgn0039086","C18C4.3","WBGene00015965",26
"330","FBgn0039086","M88.1","WBGene00010904",26
"331","FBgn0039086","F39G3.1","WBGene00018206",26
"332","FBgn0039086","C07A9.6","WBGene00007402",26
"333","FBgn0039086","R11A8.3","WBGene00011238",26
"334","FBgn0039086","T04H1.8","WBGene00011453",26
"335","FBgn0039086","T04H1.7","WBGene00011452",26
"336","FBgn0039086","Y37E11AR.5","WBGene00021372",26
"337","FBgn0039086","C44H9.1","WBGene00008097",26
"338","FBgn0039086","C08B6.1","WBGene00007422",26
"339","FBgn0039086","ZC443.6","WBGene00013901",26
"340","FBgn0039086","K04A8.10","WBGene00019379",26
"341","FBgn0039086","ZC443.5","WBGene00013900",26
"342","FBgn0039086","F01D4.2","WBGene00008486",26
"343","FBgn0039086","F01D4.1","WBGene00008485",26
"344","FBgn0039086","Y49C4A.8","WBGene00021709",26
"345","FBgn0039086","C10H11.4","WBGene00015693",26
"346","FBgn0039086","T01G5.2","WBGene00011340",26
"347","FBgn0039086","Y39G10AR.6","WBGene00021464",26
"348","FBgn0039086","C23G10.6","WBGene00016013",26
"349","FBgn0039086","C10H11.5","WBGene00015694",26
"350","FBgn0039086","C10H11.3","WBGene00015692",26
"351","FBgn0039086","C55H1.1","WBGene00016959",26
"352","FBgn0039086","C10H11.6","WBGene00015695",26
"353","FBgn0039086","F47C10.6","WBGene00018543",26
"354","FBgn0039086","H10D18.6","WBGene00019181",26
"355","FBgn0039086","C35A5.2","WBGene00007946",26
"356","FBgn0039086","F29F11.2","WBGene00009255",26
"357","FBgn0039086","C32C4.7","WBGene00044286",26
"358","FBgn0039086","F31F4.7","WBGene00017959",26
"359","FBgn0039086","F10D2.11","WBGene00017336",26
"360","FBgn0039086","F10D2.7","WBGene00017333",26
"361","FBgn0039086","F10D2.2","WBGene00017329",26
"362","FBgn0039086","F10D2.12","WBGene00017337",26
"363","FBgn0039086","F10D2.8","WBGene00017334",26
"364","FBgn0039086","F10D2.6","WBGene00017332",26
"365","FBgn0039086","F09G2.6","WBGene00017315",26
"366","FBgn0039086","F10D2.5","WBGene00017331",26
"367","FBgn0039086","T19H12.10","WBGene00020593",26
"368","FBgn0039086","T19H12.11","WBGene00020594",26
"369","FBgn0039086","H23N18.3","WBGene00019234",26
"370","FBgn0039086","H23N18.4","WBGene00019235",26
"371","FBgn0039086","H23N18.2","WBGene00019233",26
"372","FBgn0039086","T19H12.1","WBGene00020587",26
"373","FBgn0039086","H23N18.1","WBGene00019232",26
"374","FBgn0039086","T19H12.9","WBGene00020592",26
"375","FBgn0039086","T19H12.12","WBGene00044282",26
"376","FBgn0039086","ZC455.4","WBGene00013904",26
"377","FBgn0039086","ZC455.5","WBGene00013905",26
"378","FBgn0039086","ZC455.6","WBGene00013906",26
"379","FBgn0039086","C13D9.9","WBGene00015739",26
"380","FBgn0039086","ZC455.3","WBGene00013903",26
"381","FBgn0039086","AC3.7","WBGene00007072",26
"382","FBgn0039086","AC3.8","WBGene00007073",26
"383","FBgn0039086","C17G1.3","WBGene00007650",26
"384","FBgn0039086","C33A12.6","WBGene00007885",26
"385","FBgn0039086","K08B4.4","WBGene00019516",26
"386","FBgn0039086","K08B4.3","WBGene00019515",26
"387","FBgn0039086","C08F11.8","WBGene00007455",26
"388","FBgn0039086","C49A9.8","WBGene00016762",26
"389","FBgn0039087","C03A7.13","WBGene00015371",26
"390","FBgn0039087","C03A7.12","WBGene00015370",26
"391","FBgn0039087","C03A7.11","WBGene00015369",26
"392","FBgn0039087","F56B3.7","WBGene00018931",26
"393","FBgn0039087","T25B9.7","WBGene00012013",26
"394","FBgn0039087","T03D3.1","WBGene00020182",26
"395","FBgn0039087","AC3.2","WBGene00007070",26
"396","FBgn0039087","T07C5.1","WBGene00011564",26
"397","FBgn0039087","B0310.5","WBGene00015141",26
"398","FBgn0039087","R04B5.9","WBGene00011006",26
"399","FBgn0039087","C18C4.3","WBGene00015965",26
"400","FBgn0039087","M88.1","WBGene00010904",26
"401","FBgn0039087","F39G3.1","WBGene00018206",26
"402","FBgn0039087","C07A9.6","WBGene00007402",26
"403","FBgn0039087","R11A8.3","WBGene00011238",26
"404","FBgn0039087","T04H1.8","WBGene00011453",26
"405","FBgn0039087","T04H1.7","WBGene00011452",26
"406","FBgn0039087","Y37E11AR.5","WBGene00021372",26
"407","FBgn0039087","C44H9.1","WBGene00008097",26
"408","FBgn0039087","C08B6.1","WBGene00007422",26
"409","FBgn0039087","ZC443.6","WBGene00013901",26
"410","FBgn0039087","K04A8.10","WBGene00019379",26
"411","FBgn0039087","ZC443.5","WBGene00013900",26
"412","FBgn0039087","F01D4.2","WBGene00008486",26
"413","FBgn0039087","F01D4.1","WBGene00008485",26
"414","FBgn0039087","Y49C4A.8","WBGene00021709",26
"415","FBgn0039087","C10H11.4","WBGene00015693",26
"416","FBgn0039087","T01G5.2","WBGene00011340",26
"417","FBgn0039087","Y39G10AR.6","WBGene00021464",26
"418","FBgn0039087","C23G10.6","WBGene00016013",26
"419","FBgn0039087","C10H11.5","WBGene00015694",26
"420","FBgn0039087","C10H11.3","WBGene00015692",26
"421","FBgn0039087","C55H1.1","WBGene00016959",26
"422","FBgn0039087","C10H11.6","WBGene00015695",26
"423","FBgn0039087","F47C10.6","WBGene00018543",26
"424","FBgn0039087","H10D18.6","WBGene00019181",26
"425","FBgn0039087","C35A5.2","WBGene00007946",26
"426","FBgn0039087","F29F11.2","WBGene00009255",26
"427","FBgn0039087","C32C4.7","WBGene00044286",26
"428","FBgn0039087","F31F4.7","WBGene00017959",26
"429","FBgn0039087","F10D2.11","WBGene00017336",26
"430","FBgn0039087","F10D2.7","WBGene00017333",26
"431","FBgn0039087","F10D2.2","WBGene00017329",26
"432","FBgn0039087","F10D2.12","WBGene00017337",26
"433","FBgn0039087","F10D2.8","WBGene00017334",26
"434","FBgn0039087","F10D2.6","WBGene00017332",26
"435","FBgn0039087","F09G2.6","WBGene00017315",26
"436","FBgn0039087","F10D2.5","WBGene00017331",26
"437","FBgn0039087","T19H12.10","WBGene00020593",26
"438","FBgn0039087","T19H12.11","WBGene00020594",26
"439","FBgn0039087","H23N18.3","WBGene00019234",26
"440","FBgn0039087","H23N18.4","WBGene00019235",26
"441","FBgn0039087","H23N18.2","WBGene00019233",26
"442","FBgn0039087","T19H12.1","WBGene00020587",26
"443","FBgn0039087","H23N18.1","WBGene00019232",26
"444","FBgn0039087","T19H12.9","WBGene00020592",26
"445","FBgn0039087","T19H12.12","WBGene00044282",26
"446","FBgn0039087","ZC455.4","WBGene00013904",26
"447","FBgn0039087","ZC455.5","WBGene00013905",26
"448","FBgn0039087","ZC455.6","WBGene00013906",26
"449","FBgn0039087","C13D9.9","WBGene00015739",26
"450","FBgn0039087","ZC455.3","WBGene00013903",26
"451","FBgn0039087","AC3.7","WBGene00007072",26
"452","FBgn0039087","AC3.8","WBGene00007073",26
"453","FBgn0039087","C17G1.3","WBGene00007650",26
"454","FBgn0039087","C33A12.6","WBGene00007885",26
"455","FBgn0039087","K08B4.4","WBGene00019516",26
"456","FBgn0039087","K08B4.3","WBGene00019515",26
"457","FBgn0039087","C08F11.8","WBGene00007455",26
"458","FBgn0039087","C49A9.8","WBGene00016762",26
"459","FBgn0040252","C03A7.13","WBGene00015371",26
"460","FBgn0040252","C03A7.12","WBGene00015370",26
"461","FBgn0040252","C03A7.11","WBGene00015369",26
"462","FBgn0040252","F56B3.7","WBGene00018931",26
"463","FBgn0040252","T25B9.7","WBGene00012013",26
"464","FBgn0040252","T03D3.1","WBGene00020182",26
"465","FBgn0040252","AC3.2","WBGene00007070",26
"466","FBgn0040252","T07C5.1","WBGene00011564",26
"467","FBgn0040252","B0310.5","WBGene00015141",26
"468","FBgn0040252","R04B5.9","WBGene00011006",26
"469","FBgn0040252","C18C4.3","WBGene00015965",26
"470","FBgn0040252","M88.1","WBGene00010904",26
"471","FBgn0040252","F39G3.1","WBGene00018206",26
"472","FBgn0040252","C07A9.6","WBGene00007402",26
"473","FBgn0040252","R11A8.3","WBGene00011238",26
"474","FBgn0040252","T04H1.8","WBGene00011453",26
"475","FBgn0040252","T04H1.7","WBGene00011452",26
"476","FBgn0040252","Y37E11AR.5","WBGene00021372",26
"477","FBgn0040252","C44H9.1","WBGene00008097",26
"478","FBgn0040252","C08B6.1","WBGene00007422",26
"479","FBgn0040252","ZC443.6","WBGene00013901",26
"480","FBgn0040252","K04A8.10","WBGene00019379",26
"481","FBgn0040252","ZC443.5","WBGene00013900",26
"482","FBgn0040252","F01D4.2","WBGene00008486",26
"483","FBgn0040252","F01D4.1","WBGene00008485",26
"484","FBgn0040252","Y49C4A.8","WBGene00021709",26
"485","FBgn0040252","C10H11.4","WBGene00015693",26
"486","FBgn0040252","T01G5.2","WBGene00011340",26
"487","FBgn0040252","Y39G10AR.6","WBGene00021464",26
"488","FBgn0040252","C23G10.6","WBGene00016013",26
"489","FBgn0040252","C10H11.5","WBGene00015694",26
"490","FBgn0040252","C10H11.3","WBGene00015692",26
"491","FBgn0040252","C55H1.1","WBGene00016959",26
"492","FBgn0040252","C10H11.6","WBGene00015695",26
"493","FBgn0040252","F47C10.6","WBGene00018543",26
"494","FBgn0040252","H10D18.6","WBGene00019181",26
"495","FBgn0040252","C35A5.2","WBGene00007946",26
"496","FBgn0040252","F29F11.2","WBGene00009255",26
"497","FBgn0040252","C32C4.7","WBGene00044286",26
"498","FBgn0040252","F31F4.7","WBGene00017959",26
"499","FBgn0040252","F10D2.11","WBGene00017336",26
"500","FBgn0040252","F10D2.7","WBGene00017333",26
"501","FBgn0040252","F10D2.2","WBGene00017329",26
