S1,S2,Value
FBgn0030142,C10H11.8,1
FBgn0032297,F55C10.5,1
FBgn0064123,C18D1.4,1
FBgn0002917,F17C8.6,1
FBgn0002917,C27F2.2,1
FBgn0002917,C11D2.6,1
FBgn0044871,F08F8.8,1
FBgn0035028,F26F4.4,1
FBgn0086712,C28C12.9,1
FBgn0033062,E01A2.2,1
FBgn0036519,Y62E10A.8,1
FBgn0034858,F11A3.2,1
FBgn0262560,B0280.9,1
FBgn0005666,F21C10.7,1
FBgn0005666,C09D1.1,1
FBgn0014877,C34C12.8,1
FBgn0039153,C39B5.6,1
FBgn0261596,T07A9.11,1
FBgn0039925,M02B7.3,1
FBgn0001308,R05D3.7,1
FBgn0004380,Y50D7A.6,1
FBgn0037332,F13H8.10,1
FBgn0051534,F28F5.3,1
FBgn0260241,T08G11.4,1
FBgn0030655,B0361.2,1
FBgn0033615,F17A9.2,1
FBgn0035333,F55A3.1,1
FBgn0032341,Y39B6A.38,1
FBgn0036579,ZK973.11,1
FBgn0033663,H06O01.1,1
FBgn0014002,C14B1.1,1
FBgn0014002,C07A12.4,1
FBgn0039867,F28C6.3,1
FBgn0038666,CC4.3,1
FBgn0030672,T27E9.7,1
FBgn0011704,C03C10.3,1
FBgn0011704,F19G12.2,1
FBgn0011704,F58F9.1,1
FBgn0011704,K09F6.5,1
FBgn0011704,F54H12.2,1
FBgn0011704,Y57G11C.21,1
FBgn0051004,F54D1.6,1
FBgn0051004,R09E10.5,1
FBgn0051004,K03H1.5,1
FBgn0034564,Y71G12B.14,1
FBgn0051323,C30G7.2,1
FBgn0024728,C50F7.6,1
FBgn0035046,Y54F10AM.5,1
FBgn0030061,Y39B6A.33,1
FBgn0033541,C14B9.6,1
FBgn0011559,F11G11.10,1
FBgn0035424,T12F5.5,1
FBgn0250906,T03F1.3,1
FBgn0031451,T03F1.3,1
FBgn0011474,T26A5.7,1
FBgn0036992,T21C12.2,1
FBgn0031855,C01C4.3,1
FBgn0034137,C01C4.3,1
FBgn0033570,Y57G11C.12,1
FBgn0040475,Y37A1B.2,1
FBgn0037491,D2045.7,1
FBgn0029672,T20B12.3,1
FBgn0259680,C56G2.5,1
FBgn0259680,F46F6.2,1
FBgn0039085,C03A7.13,1
FBgn0039085,C03A7.12,1
FBgn0039085,C03A7.11,1
FBgn0039085,F56B3.7,1
FBgn0039085,T25B9.7,1
FBgn0039085,T03D3.1,1
FBgn0039085,AC3.2,1
FBgn0039085,T07C5.1,1
FBgn0039085,B0310.5,1
FBgn0039085,R04B5.9,1
FBgn0039085,C18C4.3,1
FBgn0039085,M88.1,1
FBgn0039085,F39G3.1,1
FBgn0039085,C07A9.6,1
FBgn0039085,R11A8.3,1
FBgn0039085,T04H1.8,1
FBgn0039085,T04H1.7,1
FBgn0039085,Y37E11AR.5,1
FBgn0039085,C44H9.1,1
FBgn0039085,C08B6.1,1
FBgn0039085,ZC443.6,1
FBgn0039085,K04A8.10,1
FBgn0039085,ZC443.5,1
FBgn0039085,F01D4.2,1
FBgn0039085,F01D4.1,1
FBgn0039085,Y49C4A.8,1
FBgn0039085,C10H11.4,1
FBgn0039085,T01G5.2,1
FBgn0039085,Y39G10AR.6,1
FBgn0039085,C23G10.6,1
FBgn0039085,C10H11.5,1
FBgn0039085,C10H11.3,1
FBgn0039085,C55H1.1,1
FBgn0039085,C10H11.6,1
FBgn0039085,F47C10.6,1
FBgn0039085,H10D18.6,1
FBgn0039085,C35A5.2,1
FBgn0039085,F29F11.2,1
FBgn0039085,C32C4.7,1
FBgn0039085,F31F4.7,1
FBgn0039085,F10D2.11,1
FBgn0039085,F10D2.7,1
FBgn0039085,F10D2.2,1
FBgn0039085,F10D2.12,1
FBgn0039085,F10D2.8,1
FBgn0039085,F10D2.6,1
FBgn0039085,F09G2.6,1
FBgn0039085,F10D2.5,1
FBgn0039085,T19H12.10,1
FBgn0039085,T19H12.11,1
FBgn0039085,H23N18.3,1
FBgn0039085,H23N18.4,1
FBgn0039085,H23N18.2,1
FBgn0039085,T19H12.1,1
FBgn0039085,H23N18.1,1
FBgn0039085,T19H12.9,1
FBgn0039085,T19H12.12,1
FBgn0039085,ZC455.4,1
FBgn0039085,ZC455.5,1
FBgn0039085,ZC455.6,1
FBgn0039085,C13D9.9,1
FBgn0039085,ZC455.3,1
FBgn0039085,AC3.7,1
FBgn0039085,AC3.8,1
FBgn0039085,C17G1.3,1
FBgn0039085,C33A12.6,1
FBgn0039085,K08B4.4,1
FBgn0039085,K08B4.3,1
FBgn0039085,C08F11.8,1
FBgn0039085,C49A9.8,1
FBgn0039086,C03A7.13,1
FBgn0039086,C03A7.12,1
FBgn0039086,C03A7.11,1
FBgn0039086,F56B3.7,1
FBgn0039086,T25B9.7,1
FBgn0039086,T03D3.1,1
FBgn0039086,AC3.2,1
FBgn0039086,T07C5.1,1
FBgn0039086,B0310.5,1
FBgn0039086,R04B5.9,1
FBgn0039086,C18C4.3,1
FBgn0039086,M88.1,1
FBgn0039086,F39G3.1,1
FBgn0039086,C07A9.6,1
FBgn0039086,R11A8.3,1
FBgn0039086,T04H1.8,1
FBgn0039086,T04H1.7,1
FBgn0039086,Y37E11AR.5,1
FBgn0039086,C44H9.1,1
FBgn0039086,C08B6.1,1
FBgn0039086,ZC443.6,1
FBgn0039086,K04A8.10,1
FBgn0039086,ZC443.5,1
FBgn0039086,F01D4.2,1
FBgn0039086,F01D4.1,1
FBgn0039086,Y49C4A.8,1
FBgn0039086,C10H11.4,1
FBgn0039086,T01G5.2,1
FBgn0039086,Y39G10AR.6,1
FBgn0039086,C23G10.6,1
FBgn0039086,C10H11.5,1
FBgn0039086,C10H11.3,1
FBgn0039086,C55H1.1,1
FBgn0039086,C10H11.6,1
FBgn0039086,F47C10.6,1
FBgn0039086,H10D18.6,1
FBgn0039086,C35A5.2,1
FBgn0039086,F29F11.2,1
FBgn0039086,C32C4.7,1
FBgn0039086,F31F4.7,1
FBgn0039086,F10D2.11,1
FBgn0039086,F10D2.7,1
FBgn0039086,F10D2.2,1
FBgn0039086,F10D2.12,1
FBgn0039086,F10D2.8,1
FBgn0039086,F10D2.6,1
FBgn0039086,F09G2.6,1
FBgn0039086,F10D2.5,1
FBgn0039086,T19H12.10,1
FBgn0039086,T19H12.11,1
FBgn0039086,H23N18.3,1
FBgn0039086,H23N18.4,1
FBgn0039086,H23N18.2,1
FBgn0039086,T19H12.1,1
FBgn0039086,H23N18.1,1
FBgn0039086,T19H12.9,1
FBgn0039086,T19H12.12,1
FBgn0039086,ZC455.4,1
FBgn0039086,ZC455.5,1
FBgn0039086,ZC455.6,1
FBgn0039086,C13D9.9,1
FBgn0039086,ZC455.3,1
FBgn0039086,AC3.7,1
FBgn0039086,AC3.8,1
FBgn0039086,C17G1.3,1
FBgn0039086,C33A12.6,1
FBgn0039086,K08B4.4,1
FBgn0039086,K08B4.3,1
FBgn0039086,C08F11.8,1
FBgn0039086,C49A9.8,1
FBgn0039087,C03A7.13,1
FBgn0039087,C03A7.12,1
FBgn0039087,C03A7.11,1
FBgn0039087,F56B3.7,1
FBgn0039087,T25B9.7,1
FBgn0039087,T03D3.1,1
FBgn0039087,AC3.2,1
FBgn0039087,T07C5.1,1
FBgn0039087,B0310.5,1
FBgn0039087,R04B5.9,1
FBgn0039087,C18C4.3,1
FBgn0039087,M88.1,1
FBgn0039087,F39G3.1,1
FBgn0039087,C07A9.6,1
FBgn0039087,R11A8.3,1
FBgn0039087,T04H1.8,1
FBgn0039087,T04H1.7,1
FBgn0039087,Y37E11AR.5,1
FBgn0039087,C44H9.1,1
FBgn0039087,C08B6.1,1
FBgn0039087,ZC443.6,1
FBgn0039087,K04A8.10,1
FBgn0039087,ZC443.5,1
FBgn0039087,F01D4.2,1
FBgn0039087,F01D4.1,1
FBgn0039087,Y49C4A.8,1
FBgn0039087,C10H11.4,1
FBgn0039087,T01G5.2,1
FBgn0039087,Y39G10AR.6,1
FBgn0039087,C23G10.6,1
FBgn0039087,C10H11.5,1
FBgn0039087,C10H11.3,1
FBgn0039087,C55H1.1,1
FBgn0039087,C10H11.6,1
FBgn0039087,F47C10.6,1
FBgn0039087,H10D18.6,1
FBgn0039087,C35A5.2,1
FBgn0039087,F29F11.2,1
FBgn0039087,C32C4.7,1
FBgn0039087,F31F4.7,1
FBgn0039087,F10D2.11,1
FBgn0039087,F10D2.7,1
FBgn0039087,F10D2.2,1
FBgn0039087,F10D2.12,1
FBgn0039087,F10D2.8,1
FBgn0039087,F10D2.6,1
FBgn0039087,F09G2.6,1
FBgn0039087,F10D2.5,1
FBgn0039087,T19H12.10,1
FBgn0039087,T19H12.11,1
FBgn0039087,H23N18.3,1
FBgn0039087,H23N18.4,1
FBgn0039087,H23N18.2,1
FBgn0039087,T19H12.1,1
FBgn0039087,H23N18.1,1
FBgn0039087,T19H12.9,1
FBgn0039087,T19H12.12,1
FBgn0039087,ZC455.4,1
FBgn0039087,ZC455.5,1
FBgn0039087,ZC455.6,1
FBgn0039087,C13D9.9,1
FBgn0039087,ZC455.3,1
FBgn0039087,AC3.7,1
FBgn0039087,AC3.8,1
FBgn0039087,C17G1.3,1
FBgn0039087,C33A12.6,1
FBgn0039087,K08B4.4,1
FBgn0039087,K08B4.3,1
FBgn0039087,C08F11.8,1
FBgn0039087,C49A9.8,1
FBgn0040252,C03A7.13,1
FBgn0040252,C03A7.12,1
FBgn0040252,C03A7.11,1
FBgn0040252,F56B3.7,1
FBgn0040252,T25B9.7,1
FBgn0040252,T03D3.1,1
FBgn0040252,AC3.2,1
FBgn0040252,T07C5.1,1
FBgn0040252,B0310.5,1
FBgn0040252,R04B5.9,1
FBgn0040252,C18C4.3,1
FBgn0040252,M88.1,1
FBgn0040252,F39G3.1,1
FBgn0040252,C07A9.6,1
FBgn0040252,R11A8.3,1
FBgn0040252,T04H1.8,1
FBgn0040252,T04H1.7,1
FBgn0040252,Y37E11AR.5,1
FBgn0040252,C44H9.1,1
FBgn0040252,C08B6.1,1
FBgn0040252,ZC443.6,1
FBgn0040252,K04A8.10,1
FBgn0040252,ZC443.5,1
FBgn0040252,F01D4.2,1
FBgn0040252,F01D4.1,1
FBgn0040252,Y49C4A.8,1
FBgn0040252,C10H11.4,1
FBgn0040252,T01G5.2,1
FBgn0040252,Y39G10AR.6,1
FBgn0040252,C23G10.6,1
FBgn0040252,C10H11.5,1
FBgn0040252,C10H11.3,1
FBgn0040252,C55H1.1,1
FBgn0040252,C10H11.6,1
FBgn0040252,F47C10.6,1
FBgn0040252,H10D18.6,1
FBgn0040252,C35A5.2,1
FBgn0040252,F29F11.2,1
FBgn0040252,C32C4.7,1
FBgn0040252,F31F4.7,1
FBgn0040252,F10D2.11,1
FBgn0040252,F10D2.7,1
FBgn0040252,F10D2.2,1
FBgn0040252,F10D2.12,1
FBgn0040252,F10D2.8,1
FBgn0040252,F10D2.6,1
FBgn0040252,F09G2.6,1
FBgn0040252,F10D2.5,1
FBgn0040252,T19H12.10,1
FBgn0040252,T19H12.11,1
FBgn0040252,H23N18.3,1
FBgn0040252,H23N18.4,1
FBgn0040252,H23N18.2,1
FBgn0040252,T19H12.1,1
FBgn0040252,H23N18.1,1
FBgn0040252,T19H12.9,1
FBgn0040252,T19H12.12,1
FBgn0040252,ZC455.4,1
FBgn0040252,ZC455.5,1
FBgn0040252,ZC455.6,1
FBgn0040252,C13D9.9,1
FBgn0040252,ZC455.3,1
FBgn0040252,AC3.7,1
FBgn0040252,AC3.8,1
FBgn0040252,C17G1.3,1
FBgn0040252,C33A12.6,1
FBgn0040252,K08B4.4,1
FBgn0040252,K08B4.3,1
FBgn0040252,C08F11.8,1
FBgn0040252,C49A9.8,1
FBgn0040250,C03A7.13,1
FBgn0040250,C03A7.12,1
FBgn0040250,C03A7.11,1
FBgn0040250,F56B3.7,1
FBgn0040250,T25B9.7,1
FBgn0040250,T03D3.1,1
FBgn0040250,AC3.2,1
FBgn0040250,T07C5.1,1
FBgn0040250,B0310.5,1
FBgn0040250,R04B5.9,1
FBgn0040250,C18C4.3,1
FBgn0040250,M88.1,1
FBgn0040250,F39G3.1,1
FBgn0040250,C07A9.6,1
FBgn0040250,R11A8.3,1
FBgn0040250,T04H1.8,1
FBgn0040250,T04H1.7,1
FBgn0040250,Y37E11AR.5,1
FBgn0040250,C44H9.1,1
FBgn0040250,C08B6.1,1
FBgn0040250,ZC443.6,1
FBgn0040250,K04A8.10,1
FBgn0040250,ZC443.5,1
FBgn0040250,F01D4.2,1
FBgn0040250,F01D4.1,1
FBgn0040250,Y49C4A.8,1
FBgn0040250,C10H11.4,1
FBgn0040250,T01G5.2,1
FBgn0040250,Y39G10AR.6,1
FBgn0040250,C23G10.6,1
FBgn0040250,C10H11.5,1
FBgn0040250,C10H11.3,1
FBgn0040250,C55H1.1,1
FBgn0040250,C10H11.6,1
FBgn0040250,F47C10.6,1
FBgn0040250,H10D18.6,1
FBgn0040250,C35A5.2,1
FBgn0040250,F29F11.2,1
FBgn0040250,C32C4.7,1
FBgn0040250,F31F4.7,1
FBgn0040250,F10D2.11,1
FBgn0040250,F10D2.7,1
FBgn0040250,F10D2.2,1
FBgn0040250,F10D2.12,1
FBgn0040250,F10D2.8,1
FBgn0040250,F10D2.6,1
FBgn0040250,F09G2.6,1
FBgn0040250,F10D2.5,1
FBgn0040250,T19H12.10,1
FBgn0040250,T19H12.11,1
FBgn0040250,H23N18.3,1
FBgn0040250,H23N18.4,1
FBgn0040250,H23N18.2,1
FBgn0040250,T19H12.1,1
FBgn0040250,H23N18.1,1
FBgn0040250,T19H12.9,1
FBgn0040250,T19H12.12,1
FBgn0040250,ZC455.4,1
FBgn0040250,ZC455.5,1
FBgn0040250,ZC455.6,1
FBgn0040250,C13D9.9,1
FBgn0040250,ZC455.3,1
FBgn0040250,AC3.7,1
FBgn0040250,AC3.8,1
FBgn0040250,C17G1.3,1
FBgn0040250,C33A12.6,1
FBgn0040250,K08B4.4,1
FBgn0040250,K08B4.3,1
FBgn0040250,C08F11.8,1
FBgn0040250,C49A9.8,1
FBgn0040253,C03A7.13,1
FBgn0040253,C03A7.12,1
FBgn0040253,C03A7.11,1
FBgn0040253,F56B3.7,1
FBgn0040253,T25B9.7,1
FBgn0040253,T03D3.1,1
FBgn0040253,AC3.2,1
FBgn0040253,T07C5.1,1
FBgn0040253,B0310.5,1
FBgn0040253,R04B5.9,1
FBgn0040253,C18C4.3,1
FBgn0040253,M88.1,1
FBgn0040253,F39G3.1,1
FBgn0040253,C07A9.6,1
FBgn0040253,R11A8.3,1
FBgn0040253,T04H1.8,1
FBgn0040253,T04H1.7,1
FBgn0040253,Y37E11AR.5,1
FBgn0040253,C44H9.1,1
FBgn0040253,C08B6.1,1
FBgn0040253,ZC443.6,1
FBgn0040253,K04A8.10,1
FBgn0040253,ZC443.5,1
FBgn0040253,F01D4.2,1
FBgn0040253,F01D4.1,1
FBgn0040253,Y49C4A.8,1
FBgn0040253,C10H11.4,1
FBgn0040253,T01G5.2,1
FBgn0040253,Y39G10AR.6,1
FBgn0040253,C23G10.6,1
FBgn0040253,C10H11.5,1
FBgn0040253,C10H11.3,1
FBgn0040253,C55H1.1,1
FBgn0040253,C10H11.6,1
FBgn0040253,F47C10.6,1
FBgn0040253,H10D18.6,1
FBgn0040253,C35A5.2,1
FBgn0040253,F29F11.2,1
FBgn0040253,C32C4.7,1
FBgn0040253,F31F4.7,1
FBgn0040253,F10D2.11,1
FBgn0040253,F10D2.7,1
FBgn0040253,F10D2.2,1
FBgn0040253,F10D2.12,1
FBgn0040253,F10D2.8,1
FBgn0040253,F10D2.6,1
FBgn0040253,F09G2.6,1
FBgn0040253,F10D2.5,1
FBgn0040253,T19H12.10,1
FBgn0040253,T19H12.11,1
FBgn0040253,H23N18.3,1
FBgn0040253,H23N18.4,1
FBgn0040253,H23N18.2,1
FBgn0040253,T19H12.1,1
FBgn0040253,H23N18.1,1
FBgn0040253,T19H12.9,1
FBgn0040253,T19H12.12,1
FBgn0040253,ZC455.4,1
FBgn0040253,ZC455.5,1
FBgn0040253,ZC455.6,1
FBgn0040253,C13D9.9,1
FBgn0040253,ZC455.3,1
FBgn0040253,AC3.7,1
FBgn0040253,AC3.8,1
FBgn0040253,C17G1.3,1
FBgn0040253,C33A12.6,1
FBgn0040253,K08B4.4,1
FBgn0040253,K08B4.3,1
FBgn0040253,C08F11.8,1
FBgn0040253,C49A9.8,1
FBgn0040255,C03A7.13,1
FBgn0040255,C03A7.12,1
FBgn0040255,C03A7.11,1
FBgn0040255,F56B3.7,1
FBgn0040255,T25B9.7,1
FBgn0040255,T03D3.1,1
FBgn0040255,AC3.2,1
FBgn0040255,T07C5.1,1
FBgn0040255,B0310.5,1
FBgn0040255,R04B5.9,1
FBgn0040255,C18C4.3,1
FBgn0040255,M88.1,1
FBgn0040255,F39G3.1,1
FBgn0040255,C07A9.6,1
FBgn0040255,R11A8.3,1
FBgn0040255,T04H1.8,1
FBgn0040255,T04H1.7,1
FBgn0040255,Y37E11AR.5,1
FBgn0040255,C44H9.1,1
FBgn0040255,C08B6.1,1
FBgn0040255,ZC443.6,1
FBgn0040255,K04A8.10,1
FBgn0040255,ZC443.5,1
FBgn0040255,F01D4.2,1
FBgn0040255,F01D4.1,1
FBgn0040255,Y49C4A.8,1
FBgn0040255,C10H11.4,1
FBgn0040255,T01G5.2,1
FBgn0040255,Y39G10AR.6,1
FBgn0040255,C23G10.6,1
FBgn0040255,C10H11.5,1
FBgn0040255,C10H11.3,1
FBgn0040255,C55H1.1,1
FBgn0040255,C10H11.6,1
FBgn0040255,F47C10.6,1
FBgn0040255,H10D18.6,1
FBgn0040255,C35A5.2,1
FBgn0040255,F29F11.2,1
FBgn0040255,C32C4.7,1
FBgn0040255,F31F4.7,1
FBgn0040255,F10D2.11,1
FBgn0040255,F10D2.7,1
FBgn0040255,F10D2.2,1
FBgn0040255,F10D2.12,1
FBgn0040255,F10D2.8,1
FBgn0040255,F10D2.6,1
FBgn0040255,F09G2.6,1
FBgn0040255,F10D2.5,1
FBgn0040255,T19H12.10,1
FBgn0040255,T19H12.11,1
FBgn0040255,H23N18.3,1
FBgn0040255,H23N18.4,1
FBgn0040255,H23N18.2,1
FBgn0040255,T19H12.1,1
FBgn0040255,H23N18.1,1
FBgn0040255,T19H12.9,1
FBgn0040255,T19H12.12,1
FBgn0040255,ZC455.4,1
FBgn0040255,ZC455.5,1
FBgn0040255,ZC455.6,1
FBgn0040255,C13D9.9,1
FBgn0040255,ZC455.3,1
FBgn0040255,AC3.7,1
FBgn0040255,AC3.8,1
FBgn0040255,C17G1.3,1
FBgn0040255,C33A12.6,1
FBgn0040255,K08B4.4,1
FBgn0040255,K08B4.3,1
FBgn0040255,C08F11.8,1
FBgn0040255,C49A9.8,1
FBgn0051002,C03A7.13,1
FBgn0051002,C03A7.12,1
FBgn0051002,C03A7.11,1
FBgn0051002,F56B3.7,1
FBgn0051002,T25B9.7,1
FBgn0051002,T03D3.1,1
FBgn0051002,AC3.2,1
FBgn0051002,T07C5.1,1
FBgn0051002,B0310.5,1
FBgn0051002,R04B5.9,1
FBgn0051002,C18C4.3,1
FBgn0051002,M88.1,1
FBgn0051002,F39G3.1,1
FBgn0051002,C07A9.6,1
FBgn0051002,R11A8.3,1
FBgn0051002,T04H1.8,1
FBgn0051002,T04H1.7,1
FBgn0051002,Y37E11AR.5,1
FBgn0051002,C44H9.1,1
FBgn0051002,C08B6.1,1
FBgn0051002,ZC443.6,1
FBgn0051002,K04A8.10,1
FBgn0051002,ZC443.5,1
FBgn0051002,F01D4.2,1
FBgn0051002,F01D4.1,1
FBgn0051002,Y49C4A.8,1
FBgn0051002,C10H11.4,1
FBgn0051002,T01G5.2,1
FBgn0051002,Y39G10AR.6,1
FBgn0051002,C23G10.6,1
FBgn0051002,C10H11.5,1
FBgn0051002,C10H11.3,1
FBgn0051002,C55H1.1,1
FBgn0051002,C10H11.6,1
FBgn0051002,F47C10.6,1
FBgn0051002,H10D18.6,1
FBgn0051002,C35A5.2,1
FBgn0051002,F29F11.2,1
FBgn0051002,C32C4.7,1
FBgn0051002,F31F4.7,1
FBgn0051002,F10D2.11,1
FBgn0051002,F10D2.7,1
FBgn0051002,F10D2.2,1
FBgn0051002,F10D2.12,1
FBgn0051002,F10D2.8,1
FBgn0051002,F10D2.6,1
FBgn0051002,F09G2.6,1
FBgn0051002,F10D2.5,1
FBgn0051002,T19H12.10,1
FBgn0051002,T19H12.11,1
FBgn0051002,H23N18.3,1
FBgn0051002,H23N18.4,1
FBgn0051002,H23N18.2,1
FBgn0051002,T19H12.1,1
FBgn0051002,H23N18.1,1
FBgn0051002,T19H12.9,1
FBgn0051002,T19H12.12,1
FBgn0051002,ZC455.4,1
FBgn0051002,ZC455.5,1
FBgn0051002,ZC455.6,1
FBgn0051002,C13D9.9,1
FBgn0051002,ZC455.3,1
FBgn0051002,AC3.7,1
FBgn0051002,AC3.8,1
FBgn0051002,C17G1.3,1
FBgn0051002,C33A12.6,1
FBgn0051002,K08B4.4,1
FBgn0051002,K08B4.3,1
FBgn0051002,C08F11.8,1
FBgn0051002,C49A9.8,1
FBgn0026314,C03A7.13,1
FBgn0026314,C03A7.12,1
FBgn0026314,C03A7.11,1
FBgn0026314,F56B3.7,1
FBgn0026314,T25B9.7,1
FBgn0026314,T03D3.1,1
FBgn0026314,AC3.2,1
FBgn0026314,T07C5.1,1
FBgn0026314,B0310.5,1
FBgn0026314,R04B5.9,1
FBgn0026314,C18C4.3,1
FBgn0026314,M88.1,1
FBgn0026314,F39G3.1,1
FBgn0026314,C07A9.6,1
